Implementation,MsgSize,Threads,Throughput_Gbps,Latency_us,Cycles,Cache_Misses,Context_Switches
Two-Copy,1024,1,3.2982,2.20,<not counted>,<not counted>,<not counted>
Two-Copy,1024,2,4.0823,3.69,<not counted>,<not counted>,<not counted>
Two-Copy,1024,4,4.6994,6.23,<not counted>,<not counted>,<not counted>
Two-Copy,1024,8,5.3983,11.91,<not counted>,<not counted>,<not counted>
Two-Copy,4096,1,2.1165,5.45,<not counted>,<not counted>,<not counted>
Two-Copy,4096,2,3.8435,6.10,<not counted>,<not counted>,<not counted>
Two-Copy,4096,4,4.3960,10.06,<not counted>,<not counted>,<not counted>
Two-Copy,4096,8,5.6914,27.57,<not counted>,<not counted>,<not counted>
Two-Copy,16384,1,2.4680,4.62,<not counted>,<not counted>,<not counted>
Two-Copy,16384,2,3.6202,7.03,<not counted>,<not counted>,<not counted>
Two-Copy,16384,4,3.9702,14.40,<not counted>,<not counted>,<not counted>
Two-Copy,16384,8,5.5344,41.90,<not counted>,<not counted>,<not counted>
Two-Copy,65536,1,2.4390,4.70,<not counted>,<not counted>,<not counted>
Two-Copy,65536,2,3.5067,6.84,<not counted>,<not counted>,<not counted>
Two-Copy,65536,4,4.4041,16.07,<not counted>,<not counted>,<not counted>
Two-Copy,65536,8,6.4558,37.99,<not counted>,<not counted>,<not counted>
One-Copy,1024,1,14.4518,0.53,<not counted>,<not counted>,<not counted>
One-Copy,1024,2,16.8930,0.91,<not counted>,<not counted>,<not counted>
One-Copy,1024,4,23.8554,1.28,<not counted>,<not counted>,<not counted>
One-Copy,1024,8,30.9674,1.98,<not counted>,<not counted>,<not counted>
One-Copy,4096,1,9.3066,3.40,<not counted>,<not counted>,<not counted>
One-Copy,4096,2,14.7079,4.28,<not counted>,<not counted>,<not counted>
