impl,msg_size,threads,throughput_gbps,latency_us,cycles,instructions,cache_misses,context_switches
A1,256,1,0.000,41182.576,31875839,15284111,610389,490
A2,256,1,0.741,22.106,15943373940,17207951724,4159973,452566
A3,256,1,0.475,34.507,11946888479,11253570568,5318920,290140
A1,256,2,0.000,41222.370,56279258,28550376,837328,980
A2,256,2,0.506,32.357,26348313486,23546715771,6920223,617793
A3,256,2,0.422,38.860,24170497496,19978609940,7215251,514924
A1,256,4,0.000,41344.093,110116945,55882731,1426293,1969
A2,256,4,0.342,47.926,46425215851,32998366711,10081654,835623
A3,256,4,0.247,66.448,36436443957,24397138242,9051706,603617
A1,256,8,0.000,40987.703,236018257,117513688,2056145,3938
A2,256,8,0.186,88.250,47597013528,36089900621,19296636,852708
A3,256,8,0.162,100.871,44693531646,31932719960,19913034,770520
A1,1024,1,0.002,41299.763,30132140,14955961,597321,488
A2,1024,1,2.465,26.584,14491436677,14146609344,10477284,376494
A3,1024,1,1.955,33.530,12678281158,11639073814,8445770,298540
A1,1024,2,0.002,41185.858,60113937,29202770,1105802,976
A2,1024,2,1.853,35.370,25655591538,21394661690,10132650,568645
A3,1024,2,1.322,49.588,20974338804,15845454816,12404816,403026
A1,1024,4,0.002,41230.702,112672603,55988214,1507372,1961
A2,1024,4,1.229,53.314,42595733081,29318139679,11644272,752859
A3,1024,4,0.965,67.932,36772111958,24019489626,10152117,590848
A1,1024,8,0.002,41194.000,222057890,110817358,2604214,3929
A2,1024,8,0.968,67.728,61903896595,45060258073,13473488,1085989
A3,1024,8,0.792,82.716,48279504328,34110570068,11064209,813123
A1,4096,1,0.006,41226.703,32271223,15021642,703108,489
A2,4096,1,7.559,34.681,13155986124,11667996980,6069770,288696
A3,4096,1,6.098,42.987,11526538486,9607387813,5477679,232981
A1,4096,2,0.006,41200.929,62463237,28816517,1360592,982
A2,4096,2,5.213,50.289,22276027652,16249163486,20051162,399025
A3,4096,2,3.990,65.694,18935068921,12869172697,25798125,306392
A1,4096,4,0.006,41197.548,120696732,56898388,2347823,1963
A2,4096,4,3.721,70.458,37655386433,23537103638,28315239,569080
A3,4096,4,2.680,97.806,30132586000,18265230785,31730925,411348
A1,4096,8,0.006,41191.854,248381040,117357720,3875942,3929
A2,4096,8,2.646,99.074,53013751398,35760320495,31907949,838725
A3,4096,8,1.663,157.662,42889689512,28295372137,31929925,598575
A1,65536,1,22.286,187.797,11844452579,5714117581,157425610,254791
A2,65536,1,25.740,162.639,12793559520,5996591160,178460289,246190
A3,65536,1,19.627,213.193,11244079785,6823074963,227749023,254935
A1,65536,2,15.194,275.149,20623893393,7903249932,579238242,297700
A2,65536,2,16.288,256.721,22909468429,7467215364,787901438,194680
A3,65536,2,12.358,338.109,18630656858,8650577321,582579441,263658
A1,65536,4,9.349,446.373,30631728692,8468943690,1082513988,115440
A2,65536,4,10.578,394.653,31477408733,8278113390,1096558401,101054
A3,65536,4,7.259,573.833,30659810343,13545648245,989872062,86971
A1,65536,8,4.846,855.976,30757323761,8037817317,1118091094,179092
A2,65536,8,4.926,840.761,31927358412,8019804983,1103268031,161699
A3,65536,8,3.897,1062.064,42720322137,21125402155,1336191274,64709
